step,epoch,loss,learning_rate,grad_norm,rewards/format_reward,rewards/cosine_scaled_reward,reward,reward_std,gpu_mem_alloc_mb,gpu_mem_peak_mb,step_time_sec
1,0.0006,2.980232238769531e-07,0.0,,0.0,-0.4581816643476486,-0.9163633286952972,0.07046629022806883,3645.2,6086.5,810.9
2,0.0011,4.6566128730773926e-07,5e-07,,0.0,-0.47419849038124084,-0.9483969509601593,0.06443409714847803,3645.2,6119.0,813.84
3,0.0017,-6.4373016357421875e-06,1e-06,,0.0,-0.47469519078731537,-0.9493903964757919,0.02546792710199952,3645.2,6120.5,814.88
4,0.0023,-6.161630153656006e-06,9.931634888554935e-07,,0.0,-0.4800366908311844,-0.9600733816623688,0.03750546649098396,3645.2,6122.9,815.73
5,0.0029,-1.1235475540161133e-05,9.728616793536587e-07,,0.0,-0.4610184580087662,-0.9220369160175323,0.05609214352443814,3645.2,6122.9,815.84
6,0.0034,-5.6587159633636475e-06,9.397114317029974e-07,,0.0,-0.43115096539258957,-0.8623019307851791,0.19040754111483693,3645.2,6129.7,815.34
7,0.004,-6.24731183052063e-06,8.9471999940354e-07,,0.0,-0.4677419885993004,-0.9354839473962784,0.056630742736160755,3645.2,6129.7,814.51
8,0.0046,-5.133450031280518e-06,8.392544243589427e-07,,0.0,-0.4351673647761345,-0.8703347146511078,0.10057847108691931,3645.2,6129.7,815.12
9,0.0051,-4.664063453674316e-06,7.75e-07,,0.0,-0.4807252585887909,-0.9614505171775818,0.0432720510289073,3645.2,6129.7,815.01
10,0.0057,-2.2277235984802246e-06,7.039090644965509e-07,,0.0,-0.38343894481658936,-0.7668778896331787,0.3067741859704256,3645.2,6129.7,813.54
11,0.0063,-1.996755599975586e-06,6.281416799501187e-07,,0.0,-0.2307990826666355,-0.461598165333271,0.3550597131252289,3645.2,6129.7,814.71
12,0.0069,-1.2740492820739746e-06,5.5e-07,,0.0,-0.19471427984535694,-0.3894285596907139,0.27436650544404984,3645.2,6129.7,814.77
13,0.0074,-2.5406479835510254e-06,4.7185832004988133e-07,,0.0,-0.2408045493066311,-0.4816090911626816,0.3208252266049385,3645.2,6129.7,814.34
14,0.008,-1.5497207641601562e-06,3.9609093550344907e-07,,0.0,-0.35031646490097046,-0.7006329447031021,0.3634557966142893,3645.2,6129.7,814.91
15,0.0086,-1.7210841178894043e-06,3.250000000000001e-07,,0.0,-0.2049925960600376,-0.40998518466949463,0.3375362530350685,3645.2,6129.7,815.43
16,0.0091,-1.9073486328125e-06,2.6074557564105724e-07,,0.0,-0.17782340943813324,-0.3556468114256859,0.38361550495028496,3645.2,6129.7,816.11
17,0.0097,-2.1010637283325195e-06,2.0528000059645995e-07,,0.0,-0.28106561303138733,-0.5621312409639359,0.371349073946476,3645.2,6129.7,815.13
18,0.0103,-1.7527490854263306e-06,1.6028856829700258e-07,,0.0,-0.25671521946787834,-0.5134304240345955,0.34325383603572845,3645.2,6129.7,815.46
19,0.0109,-2.980232238769531e-07,1.2713832064634125e-07,,0.0,-0.20568780414760113,-0.41137560456991196,0.28929552249610424,3645.2,6129.7,816.18
20,0.0114,-1.460779458284378e-06,1.068365111445064e-07,,0.0,-0.31505120918154716,-0.6301024332642555,0.33287271670997143,3645.2,6129.7,815.67
20,0.0114,,,,,,,,3645.2,6129.7,819.4
